experiment,graph_id,graph_type,model,repetition,attack_id,attack_type,strategy,fraction_removed,nodes_removed,gcc_fraction,gcc_size,avg_path_length_gcc,diameter_gcc,global_efficiency,global_clustering,avg_local_clustering,mean_degree,max_degree,degree_std
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.8200000000000001,246,0.06,18,3.235294117647059,7,0.08222854480716116,0.46956521739130436,0.30185185185185187,2.111111111111111,6,1.3833221775543036
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.84,252,0.043333333333333335,13,2.8461538461538463,5,0.06520390070921983,0.47619047619047616,0.3229166666666667,1.6666666666666667,4,1.2304019216861166
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.86,258,0.03333333333333333,10,2.3333333333333335,5,0.05404568331397601,0.5625,0.3333333333333333,1.5238095238095237,4,1.219642711891971
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.88,264,0.03333333333333333,10,2.3333333333333335,5,0.06751322751322754,0.5333333333333333,0.3055555555555556,1.5555555555555556,4,1.2789849370245931
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.9,270,0.016666666666666666,5,1.4,2,0.05555555555555556,0.5217391304347826,0.18888888888888886,1.2666666666666666,4,1.0934146311237816
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.92,276,0.016666666666666666,5,1.4,2,0.06642512077294686,0.5,0.2222222222222222,1.1666666666666667,4,1.1426091000668408
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.9400000000000001,282,0.013333333333333334,4,1.1666666666666667,2,0.08061002178649238,0.5454545454545454,0.18518518518518517,1.1111111111111112,3,1.048220125784067
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.96,288,0.01,3,1.0,1,0.06060606060606061,1.0,0.25,0.6666666666666666,2,0.8498365855987975
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.98,294,0.0033333333333333335,1,0.0,0,0.0,0,0.0,0.0,0,0.0
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,1.0,300,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,targeted_degree,targeted,degree,0.0,0,1.0,300,3.507380156075808,6,0.3195165366034352,0.48052805280528055,0.487963554963555,10.0,13,0.9486832980505138
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,targeted_degree,targeted,degree,0.02,6,0.98,294,3.6163311741078683,6,0.3117283090710599,0.4892344497607656,0.4962010778337309,9.693877551020408,12,1.0142672359011573
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,targeted_degree,targeted,degree,0.04,12,0.96,288,3.717334494773519,6,0.3050788811459945,0.4942031493337948,0.4999383718133718,9.409722222222221,12,1.0633620322958661
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,targeted_degree,targeted,degree,0.06,18,0.94,282,3.784154867368315,7,0.3010054792973534,0.4985228951255539,0.5024515673451844,9.191489361702128,11,1.2372177297790938
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,targeted_degree,targeted,degree,0.08,24,0.92,276,3.835151515151515,7,0.2978833678399552,0.5001471020888497,0.5006263462785202,8.992753623188406,11,1.4193097771967518
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,targeted_degree,targeted,degree,0.1,30,0.9,270,3.927330304281977,7,0.29271559043561585,0.5072388831437435,0.5071433915878361,8.837037037037037,11,1.5405982840125234
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,targeted_degree,targeted,degree,0.12,36,0.88,264,3.979173867957138,7,0.28986476662340327,0.5068508287292818,0.5078012265512265,8.636363636363637,11,1.6156091227353122
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,targeted_degree,targeted,degree,0.14,42,0.86,258,4.060145386541188,7,0.2853807670929199,0.5069321009598293,0.508320469366981,8.418604651162791,11,1.7217157226864743
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,targeted_degree,targeted,degree,0.16,48,0.84,252,4.173559729336621,7,0.27955675408730885,0.5109554140127388,0.5107025470120709,8.198412698412698,11,1.812740805108501
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,targeted_degree,targeted,degree,0.18,54,0.82,246,4.31279243404679,8,0.2727921180087265,0.5162692847124825,0.512697532819484,7.9105691056910565,11,1.816850352828762
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,targeted_degree,targeted,degree,0.2,60,0.8,240,4.3721059972106,9,0.2697027683691532,0.5181236673773987,0.5057479557479557,7.666666666666667,11,1.8988300491501486
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,targeted_degree,targeted,degree,0.22,66,0.78,234,4.503026301309563,9,0.2633489291930336,0.5196094933512877,0.5065616482283148,7.401709401709402,11,1.8423314338451238
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,targeted_degree,targeted,degree,0.24,72,0.76,228,4.642051163150166,9,0.2567009330718152,0.5169283147342538,0.50333883952305,7.0964912280701755,11,1.7645102607945835
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,targeted_degree,targeted,degree,0.26,78,0.74,222,4.824303941951001,10,0.24925185366362274,0.5162110616656072,0.5093343343343343,6.81981981981982,10,1.68029490224963
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,targeted_degree,targeted,degree,0.28,84,0.72,216,4.9584840654608096,10,0.2443409827324443,0.5168539325842697,0.5123199588477366,6.592592592592593,10,1.638862732580562
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,targeted_degree,targeted,degree,0.3,90,0.7,210,5.033219412166781,11,0.24271307450048923,0.521484375,0.4991950113378685,6.495238095238095,10,1.8211655583525912
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,targeted_degree,targeted,degree,0.32,96,0.68,204,5.060996812518111,11,0.24252471277607657,0.5236888776285786,0.4973622782446312,6.450980392156863,10,1.8793378630616426
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,targeted_degree,targeted,degree,0.34,102,0.6466666666666666,194,5.012712996100635,11,0.23660848713915553,0.5269849507005708,0.49335417668750997,6.434343434343434,10,1.9906935807798
